index,mid,display_name
0,/m/09x0r,"Speech"
1,/m/05zppz,"Male speech, man speaking"
2,/m/02zsn,"Female speech, woman speaking"
3,/m/0ytgt,"Child speech, kid speaking"
4,/m/01h8n0,"Conversation"
5,/m/02qldy,"Narration, monologue"
6,/m/0261r1,"Babbling"
7,/m/0brhx,"Speech synthesizer"
8,/m/07p6fty,"Shout"
9,/m/07q4ntr,"Bellow"
10,/m/07rwj3x,"Whoop"
11,/m/07sr1lc,"Yell"
12,/m/04gy_2,"Battle cry"
13,/t/dd00135,"Children shouting"
14,/m/03qc9zr,"Screaming"
15,/m/02rtxlg,"Whispering"
16,/m/01j3sz,"Laughter"
17,/t/dd00001,"Baby laughter"
18,/m/07r660_,"Giggle"
19,/m/07s04w4,"Snicker"
20,/m/07sq110,"Belly laugh"
21,/m/07rgt08,"Chuckle, chortle"
22,/m/0463cq4,"Crying, sobbing"
23,/t/dd00002,"Baby cry, infant cry"
24,/m/07qz6j3,"Whimper"
25,/m/07qw_06,"Wail, moan"
26,/m/07plz5l,"Sigh"
27,/m/015lz1,"Singing"
28,/m/0l14jd,"Choir"
29,/m/01swy6,"Yodeling"
30,/m/02bk07,"Chant"
31,/m/01c194,"Mantra"
32,/t/dd00003,"Male singing"
33,/t/dd00004,"Female singing"
34,/t/dd00005,"Child singing"
35,/t/dd00006,"Synthetic singing"
36,/m/06bxc,"Rapping"
37,/m/02fxyj,"Humming"
38,/m/07s2xch,"Groan"
39,/m/07r4k75,"Grunt"
40,/m/01w250,"Whistling"
41,/m/0lyf6,"Breathing"
42,/m/07mzm6,"Wheeze"
43,/m/01d3sd,"Snoring"
44,/m/07s0dtb,"Gasp"
45,/m/07pyy8b,"Pant"
46,/m/07q0yl5,"Snort"
47,/m/01b_21,"Cough"
48,/m/0dl9sf8,"Throat clearing"
49,/m/01hsr_,"Sneeze"
50,/m/07ppn3j,"Sniff"
51,/m/06h7j,"Run"
52,/m/07qv_x_,"Shuffle"
53,/m/07pbtc8,"Walk, footsteps"
54,/m/03cczk,"Chewing, mastication"
55,/m/07pdhp0,"Biting"
56,/m/0939n_,"Gargling"
57,/m/01g90h,"Stomach rumble"
58,/m/03q5_w,"Burping, eructation"
59,/m/02p3nc,"Hiccup"
60,/m/02_nn,"Fart"
61,/m/0k65p,"Hands"
62,/m/025_jnm,"Finger snapping"
63,/m/0l15bq,"Clapping"
64,/m/01jg02,"Heart sounds, heartbeat"
65,/m/01jg1z,"Heart murmur"
66,/m/053hz1,"Cheering"
67,/m/028ght,"Applause"
68,/m/07rkbfh,"Chatter"
69,/m/03qtwd,"Crowd"
70,/m/07qfr4h,"Hubbub, speech noise, speech babble"
71,/t/dd00013,"Children playing"
72,/m/0jbk,"Animal"
73,/m/068hy,"Domestic animals, pets"
74,/m/05tny_,"Dog"
75,/m/0755wz,"Bark"
76,/m/07r_k2n,"Yip"
77,/m/07qf0zm,"Howl"
78,/m/07rc7d9,"Bow-wow"
79,/m/0ghcn6,"Growling"
80,/t/dd00136,"Whimper (dog)"
81,/m/01yrx,"Cat"
82,/m/02yds9,"Purr"
83,/m/07qrkrw,"Meow"
84,/m/07rjwbb,"Hiss"
85,/m/07r81j2,"Caterwaul"
86,/m/0ch8v,"Livestock, farm animals, working animals"
87,/m/03k3r,"Horse"
88,/m/07rv9rh,"Clip-clop"
89,/m/07q5rw0,"Neigh, whinny"
90,/m/01xq0k1,"Cattle, bovinae"
91,/m/07rpkh9,"Moo"
92,/m/0239kh,"Cowbell"
93,/m/068zj,"Pig"
94,/t/dd00018,"Oink"
95,/m/03fwl,"Goat"
96,/m/07q0h5t,"Bleat"
97,/m/07bgp,"Sheep"
98,/m/025rv6n,"Fowl"
99,/m/09b5t,"Chicken, rooster"
100,/m/07st89h,"Cluck"
101,/m/07qn5dc,"Crowing, cock-a-doodle-doo"
102,/m/01rd7k,"Turkey"
103,/m/07svc2k,"Gobble"
104,/m/09ddx,"Duck"
105,/m/07qdb04,"Quack"
106,/m/0dbvp,"Goose"
107,/m/07qwf61,"Honk"
108,/m/01280g,"Wild animals"
109,/m/0cdnk,"Roaring cats (lions, tigers)"
110,/m/04cvmfc,"Roar"
111,/m/015p6,"Bird"
112,/m/020bb7,"Bird vocalization, bird call, bird song"
113,/m/07pggtn,"Chirp, tweet"
114,/m/07sx8x_,"Squawk"
115,/m/0h0rv,"Pigeon, dove"
116,/m/07r_25d,"Coo"
117,/m/04s8yn,"Crow"
118,/m/07r5c2p,"Caw"
119,/m/09d5_,"Owl"
120,/m/07r_80w,"Hoot"
121,/m/05_wcq,"Bird flight, flapping wings"
122,/m/01280g,"Canidae, dogs, wolves"
123,/m/06hps,"Rodents, rats, mice"
124,/m/04rmv,"Mouse"
125,/m/07r4gkf,"Patter"
126,/m/032n05,"Insect"
127,/m/09xqv,"Cricket"
128,/m/09f96,"Mosquito"
129,/m/0h2mp,"Fly, housefly"
130,/m/07pjwq1,"Buzz"
131,/m/01h3n,"Bee, wasp, etc."
132,/m/09ld4,"Frog"
133,/m/07st88b,"Croak"
134,/m/078jl,"Snake"
135,/m/032n05,"Whale vocalization"
136,/m/04rlf,"Music"
137,/m/04szw,"Musical instrument"
138,/m/0fx80y,"Plucked string instrument"
139,/m/0342h,"Guitar"
140,/m/02sgy,"Electric guitar"
141,/m/018vs,"Bass guitar"
142,/m/042v_gx,"Acoustic guitar"
143,/m/06w87,"Steel guitar, slide guitar"
144,/m/01glhc,"Tapping (guitar technique)"
145,/m/07s0s5r,"Strum"
146,/m/018j2,"Banjo"
147,/m/0jtg0,"Sitar"
148,/m/04rzd,"Mandolin"
149,/m/01bns_,"Zither"
150,/m/07xzm,"Ukulele"
151,/m/05148p4,"Keyboard (musical)"
152,/m/05r5c,"Piano"
153,/m/01s0ps,"Electric piano"
154,/m/013y1f,"Organ"
155,/m/03xq_f,"Electronic organ"
156,/m/03gvt,"Hammond organ"
157,/m/0l14qv,"Synthesizer"
158,/m/01v1d8,"Sampler"
159,/m/03q5t,"Harpsichord"
160,/m/0l14md,"Percussion"
161,/m/02hnl,"Drum kit"
162,/m/0cfdd,"Drum machine"
163,/m/026t6,"Drum"
164,/m/06rvn,"Snare drum"
165,/m/03t3fj,"Rimshot"
166,/m/02k_mr,"Drum roll"
167,/m/0bm02,"Bass drum"
168,/m/011k_j,"Timpani"
169,/m/01p970,"Tabla"
170,/m/01qbl,"Cymbal"
171,/m/03qtq,"Hi-hat"
172,/m/01sm1g,"Wood block"
173,/m/07brj,"Tambourine"
174,/m/05r5wn,"Rattle (instrument)"
175,/m/0xzly,"Maraca"
176,/m/0mbct,"Gong"
177,/m/016622,"Tubular bells"
178,/m/0j45pbj,"Mallet percussion"
179,/m/0dwsp,"Marimba, xylophone"
180,/m/0dwtp,"Glockenspiel"
181,/m/0dwt5,"Vibraphone"
182,/m/0l156b,"Steelpan"
183,/m/05pd6,"Orchestra"
184,/m/01kcd,"Brass instrument"
185,/m/0319l,"French horn"
